"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1031","Td-pur","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 5 years","Combination of tetanus toxoid and diphtheria toxoid.","Novartis vaccine Diagnostics GmbH & Co. KG.","NA","2005","Approved","Gram-positive bacillus.","NA","Whitish, turbid suspension","Primary Immunisation: Three doses.\nBooster: At 10 year intervals.","NA","Intramuscular","Immunisation against tetanus and diphtheria.","Marketing Authorisation Holder : Biogenetech Co., Ltd., Thailand","Thailand FDA","Aluminium hydroxide","For tetanus.","Erythema , swelling, pain, induration, itching, myalgia, headache","NA","Combination (4 doses)","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_9_48_Td%20pur.pdf","NA","NA"
"1032","REPEVAX","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 3 years","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine.","Sanofi Pasteur","United Kingdom","2002","Approved","Gram-positive bacillus.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Immunization against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing authorisation holder : Sanofi Pasteur Europe","European Medicine Agency","Aluminium phosphate","For tetanus, pertussis and poliomyelitis.","Pain, redness, swelling, headache, diarrhoea, nausea, myalgia, fever, chills, ","NA","Single dose","NA","NA","NA","https://www.medicines.org.uk/emc/medicine/15256#gref","NA","NA"
"1033","Adacel Polio","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","4 years and older","Tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine. ","Sanofi Pasteur Limited","Canada","2013","Approved","Gram-positive bacillus.","83.8% of adults, 97.1% of adolescents and at least 97.6% of children achieved a seroprotective antitoxin level of 0.1 IU/mL.","Suspension for injection","Single dose of 0.5 mL.","Serum diphtheria antitoxin level:\n0.01 IU/mL : Lowest protection\nat least 0.1 IU/mL : Protective","Intramuscular","Immunization against tetanus, diphtheria, pertussis and poliomyelitis.","NA","NA","Aluminium phosphate","For tetanus, pertussis and poliomyelitis.","Redness, swelling, pain, tired, headache, generalized body ache and sore or swollen joints.","NA","Single dose","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00021710.PDF","NA","https://www.toronto.ca/community-people/health-wellness-care/diseases-medications-vaccines/diphtheria-tetanus-pertussis-and-polio-vaccines/"
"1034","Tripedia","Bacteria","Diphtheria","Corynebacterium diphtheriae","Toxoid","DNA","6 weeks to 7 years","Diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur, Inc.","NA","1996","Approved","Gram-positive bacillus.","Reduces the risk of developing diphtheria and protection lasts around 10 years.","Suspension for injection","Three doses, gap of 4-8 weeks.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis simultaneously.","Distributed by Aventis Pasteur Inc. (AvP)","US FDA","Aluminium potassium sulphate","For tetanus and acellular pertussis.","Injection site reactions, fever, irritability, drowsiness and vomiting.","NA","Combination (3 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=354&keywords=","NA","NA"
"1035","Td Polio Adsorbed","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed and inactivated poliomyelitis vaccine.","Sanofi Pasteur Ltd","Canada","2010","Approved","Gram-positive bacillus.","NA","Suspension for injection","Primary immunisation - Three doses.\nBooster - 0.5 mL dose at 10 year interval."," Serum diphtheria antitoxin level:\n0.01 IU/mL: Lowest level of protection\nat least 0.1 IU/mL: Protective\n1.0 IU/mL: Long term protection\n","Intramuscular","Immunization against tetanus, diphtheria and poliomyelitis.","NA","NA","Aluminium phosphate","For tetanus and inactivated poliovirus.","Redness, tenderness, induration, swelling, pain, itchiness, muscle ache, headache, dizziness and malaise.","NA","Combination (4 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=629&keywords=","NA","https://pdf.hres.ca/dpd_pm/00012130.PDF"
"1036","Td Adsorbed","Bacteria","Diphtheria","Corynebacterium diphtheriae","Toxoid","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed.","Sanofi Pasteur Ltd","Canada","2012","Approved","Gram-positive bacillus.","NA","Suspension for injection","Primary immunisation - Three doses.\nBooster- Single dose at 10 year interval."," Serum diphtheria antitoxin level:\n0.01 IU/mL: Lowest level of protection\nat least 0.1 IU/mL: Protective\n1.0 IU/mL: Long term protection\n","Intramuscular","Immunization against tetanus and diphtheria.","NA","NA","Aluminium phosphate","For tetanus also.","Pain, swelling, redness, fever, chills and sore joints.","NA","Combination (4 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=771&keywords=","NA","https://pdf.hres.ca/dpd_pm/00020609.PDF"
"1037","Diphtheria and Tetanus Toxoids Adsorbed","Bacteria","Diphtheria","Corynebacterium diphtheriae","Toxoid","DNA"," 6 weeks to 6 years","Vaccine for diphtheria and tetanus.","Sanofi Pasteur Ltd","Canada","1997","Approved","Gram-positive bacillus.","Protective diphtheria and tetanus antitoxin levels developed in 100% of the recipients.","Suspension for injection","Five doses at  at 2, 4, 6, 15-18 months and between 4 and 6 years.","Serum diphtheria antitoxin level :\n0.01 IU/mL : Lowest level of protection\n at least 0.1 IU/mL : Protective","Intramuscular","Immunization against diphtheria and tetanus.","Distributed by: Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","For tetanus also.","Crying, redness, swelling, tenderness, fever, moderate or severe arm mobility and loss of appetite.","NA","Combination (5 doses)","NA","NA","NA","https://www.fda.gov/media/75962/download","NA","NA"
"1038","Vaxelis","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","6 weeks to 4 years","Diphtheria, tetanus toxoids, acellular pertussis, inactivated poliovirus, haemophilus b conjugate and hepatitis B vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2018","Approved","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses administered at 2, 4, and 6 months.","Not clearly defined.","Intramuscular","Prevents diphtheria, tetanus, pertussis, poliomyelitis, hepatitis B, and invasive disease due to Haemophilus influenzae type b.","Distributed by - Merck Sharp & Dohme Corp and Sanofi Pasteur Inc., USA","Thailand FDA","Aluminium salts","Also for tetanus, diphtheria, polio, Hib (Haemophilus influenzae type b), and hepatitis B.","Irritability, crying , injection site pain, erythema and swelling, somnolence, decreased appetite, fever and vomiting.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/119465/download","PR5I","NA"
"1039","Infanrix","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","6 weeks to 6 years","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed (DTaP vaccine).","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","1997","Approved","Gram-negative coccobacillus.","The efficacy against >=14 days of any cough or paroxysmal cough were 73% and 84%.","Suspension for injection","0.5-mL injection given as a 5-dose series. One dose each at 2, 4, and 6 months. One booster dose at 15 to 20 months and another booster dose at 4 to 6 years.","NA","Intramuscular","Prevents against diphtheria, tetanus and acellular pertussis.","Distributed by GlaxoSmithKline","US FDA","Aluminium hydroxide","Also for diphtheria and tetanus.","Pain, redness, swelling, fever, drowsiness, irritability, loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/75157/download","NA","NA"
"1040","Infanrix-IPV+Hib","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Conjugate","DNA","Over 2 months","Diphtheria, tetanus, pertussis (acellular component), poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals S.A","Belgium","2005","Approved","Gram-negative coccobacillus.","NA","Powder and suspension.","Two or three injections, gap of 1 month.","NA","Intramuscular","Immunisation against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","Marketing authorisation holder - SmithKline Beecham Ltd","Member States of the EEA","Aluminium hydroxide","For Diphtheria, tetanus, haemophilus influenzae type b and poliomyelitis.","Loss of appetite, high temperature, swelling, pain and redness, feeling restless.","NA","Combination doses","NA","NA","NCT01309646","https://www.medicines.org.uk/emc/files/pil.5301.pdf","DTPa-IPV/Hib","https://www.medicines.org.uk/emc/medicine/28678#gref"
"1041","Infanrix/Hib","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","15 months and older","DTPa/Hib vaccine.","GlaxoSmithKline","Canada","2008","Approved","Gram-negative coccobacillus.","NA","NA","Single dose of Infanrix mixed with Hiberix.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For diphtheria, tetanus and Hib.","NA","NA","Single dose","NA","NA","NCT00696423","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=584&keywords=","NA","NA"
"1042","Infanrix-IPV","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","2 months to 6 years","DTaP-IPV vaccine.","GlaxoSmithKline","Canada","NA","Approved","Gram-negative coccobacillus.","NA","NA","Booster vaccine.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For diphtheria, tetanus, pertussis and polio.","Mild pain, redness, swelling, decreased appetite, vomiting, irritability, unusual crying and limb swelling.","NA","Single dose","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=588&keywords=","DTaP-IPV","https://www.immune.org.nz/vaccines/available-vaccines/infanrix-ipv"
"1043","Boostrix","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","10 years and older","Tetanus (reduced), diphtheria (reduced) and pertussis vaccine (Tdap vaccine).","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2005"," Approved","Gram-negative coccobacillus.","Evaluated by comparison of the immune response with 3 dose series of Infanrix or Pediarix.","Suspension for injection.","0.5-mL injection. Initial dose 5 years after the last dose of DTaP or Td vaccine. Additional dose: 9 years after the Tdap vaccine.","Not well understood.","Intramuscular","Not indicated in children aged younger than 10 years.","Distributed by - GlaxoSmithKline Research Triangle Park","US FDA","Aluminium hydroxide","For Diphtheria and tetanus.","Pain, redness and swelling at the injection site, increase in arm circumference, headache, fatigue and gastrointestinal symptoms.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/124002/download","dTPa","NA"
"1044","Pentacel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","6 weeks to 4 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate)(DTaP vaccine).","Sanofi Pasteur Limited and Sanofi Pasteur SA","Canada and France","2008","Approved","Gram-negative coccobacillus.","Was based on a comparison of pertussis immune responses following Pentacel in US children to responses following Daptacel.","Suspension for injection as a liquid vaccine.","Four dose immunization series administered at 2, 4, 6 and 15-18 months.","Not clearly defined.","Intramuscular","The safety and effectiveness in infants less than 6 weeks and in children 5 to 16 years have not been established.","Distributed by- Sanofi Pasteur Inc. , USA","US FDA","Aluminium phosphate","For diphtheria, tetanus, poliovirus and Haemophilus b.","Fussiness, inconsolable crying, fever, tenderness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00804284","https://www.fda.gov/media/74385/download","DTaP-IPV/Hib","NA"
"1045","Daptacel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","6 weeks to 6 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2002","Approved","Gram-negative coccobacillus.","Protective efficacy against mild pertussis was 77.9%.","Suspension for injection","The five doses at 2, 4, 6 and 15-20 months and at 4-6 years.","Not clearly defined.","Intramuscular","Used to complete the immunization series in infants who have received 1 or more doses of whole-cell pertussis DTP.","Distributed by- Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","For diphtheria and tetanus.","Fussiness, inconsolable crying, decreased activity, fever, tenderness, redness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00258895","https://www.fda.gov/media/74035/download","DTaP","NA"
"1046","Quadracel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","4 to 6 years","Diphtheria, Tetanus Toxoids, Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2015","Approved","Gram-negative coccobacillus.","Prevent pertussis in infants with a protective efficacy of 85.2% using the WHO case definition and the protective efficacy against mild disease was 77.9%.","Suspension for injection","Single dose of 0.5 mL.","Not clearly defined.","Intramuscular","If Quadracel is administered to immunocompromised persons the expected immune response may not be obtained.","Distributed by- Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","For diphtheria, tetanus and poliovirus.","Pain, increase in arm circumference, erythema, swelling, myalgia, malaise, and headache.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/91640/download","DTaP","https://products.sanofi.ca/en/quadracel.pdf"
"1047","Adacel","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Inactivated","DNA","10 to 64 years","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis vaccine adsorbed (Tdap vaccine).","Sanofi Pasteur Limited","Canada","2005","Approved","Gram-negative coccobacillus.","The protective efficacy against mild pertussis was 77.9%.","Suspension for injection","Single 0.5 mL injection. First dose and Wound Management - 5 years. A repeat vaccination - 8 years.","Not clearly defined.","Intramuscular","Active booster immunization against tetanus, diphtheria and pertussis.","Distributed by - Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate ","For diphtheria and tetanus.","Injection site pain, swelling and erythema, myalgia, headache, malaise, body ache and tiredness.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/119862/download","Tdap","NA"
